Code,No. of faecal pellets,Treatment,Replicate,Date,Day,Individual
3D,1,Undiluted,4,09/11/2019,5,24
3E,1,Undiluted,5,09/11/2019,5,25
3F,5,Undiluted,6,09/11/2019,5,26
3G,1,Undiluted,7,09/11/2019,5,27
3H,3,Undiluted,8,09/11/2019,5,28
3I,1,Undiluted,9,09/11/2019,5,29
3J,2,Undiluted,10,09/11/2019,5,30
4A,1,2X Diluted,1,09/11/2019,5,31
4B,3,2X Diluted,2,09/11/2019,5,32
4C,2,2X Diluted,3,09/11/2019,5,33
4D,1,2X Diluted,4,09/11/2019,5,34
4E,3,2X Diluted,5,09/11/2019,5,35
4F,1,2X Diluted,6,09/11/2019,5,36
4G,1,2X Diluted,7,09/11/2019,5,37
4H,2,2X Diluted,8,09/11/2019,5,38
4I,1,2X Diluted,9,09/11/2019,5,39
4J,2,2X Diluted,10,09/11/2019,5,40
1A,9,Control,1,10/11/2019,6,1
1B,7,Control,2,10/11/2019,6,2
1C,31,Control,3,10/11/2019,6,3
1D,18,Control,4,10/11/2019,6,4
1E,20,Control,5,10/11/2019,6,5
1F,27,Control,6,10/11/2019,6,6
1G,25,Control,7,10/11/2019,6,7
1H,10,Control,8,10/11/2019,6,8
1I,21,Control,9,10/11/2019,6,9
1J,25,Control,10,10/11/2019,6,10
2A,1,Sterile,1,10/11/2019,6,11
2B,1,Sterile,2,10/11/2019,6,12
2C,2,Sterile,3,10/11/2019,6,13
2D,6,Sterile,4,10/11/2019,6,14
2E,2,Sterile,5,10/11/2019,6,15
2F,3,Sterile,6,10/11/2019,6,16
2G,1,Sterile,7,10/11/2019,6,17
2H,3,Sterile,8,10/11/2019,6,18
2I,1,Sterile,9,10/11/2019,6,19
2J,2,Sterile,10,10/11/2019,6,20
3A,1,Undiluted,1,10/11/2019,6,21
3B,1,Undiluted,2,10/11/2019,6,22
3C,2,Undiluted,3,10/11/2019,6,23
3D,2,Undiluted,4,10/11/2019,6,24
3E,2,Undiluted,5,10/11/2019,6,25
3F,1,Undiluted,6,10/11/2019,6,26
3G,2,Undiluted,7,10/11/2019,6,27
3H,3,Undiluted,8,10/11/2019,6,28
3I,2,Undiluted,9,10/11/2019,6,29
3J,1,Undiluted,10,10/11/2019,6,30
4A,1,2X Diluted,1,10/11/2019,6,31
4B,3,2X Diluted,2,10/11/2019,6,32
4C,3,2X Diluted,3,10/11/2019,6,33
4D,1,2X Diluted,4,10/11/2019,6,34
4E,2,2X Diluted,5,10/11/2019,6,35
4F,1,2X Diluted,6,10/11/2019,6,36
4G,2,2X Diluted,7,10/11/2019,6,37
4H,1,2X Diluted,8,10/11/2019,6,38
4I,2,2X Diluted,9,10/11/2019,6,39
4J,2,2X Diluted,10,10/11/2019,6,40
1A,6,Control,1,11/11/2019,7,1
1B,3,Control,2,11/11/2019,7,2
1C,12,Control,3,11/11/2019,7,3
1D,8,Control,4,11/11/2019,7,4
1E,6,Control,5,11/11/2019,7,5
1F,14,Control,6,11/11/2019,7,6
1G,12,Control,7,11/11/2019,7,7
1H,4,Control,8,11/11/2019,7,8
1I,8,Control,9,11/11/2019,7,9
1J,11,Control,10,11/11/2019,7,10
2A,3,Sterile,1,11/11/2019,7,11
2B,2,Sterile,2,11/11/2019,7,12
2C,4,Sterile,3,11/11/2019,7,13
2D,2,Sterile,4,11/11/2019,7,14
2E,1,Sterile,5,11/11/2019,7,15
2F,1,Sterile,6,11/11/2019,7,16
2G,1,Sterile,7,11/11/2019,7,17
2H,2,Sterile,8,11/11/2019,7,18
2I,1,Sterile,9,11/11/2019,7,19
2J,2,Sterile,10,11/11/2019,7,20
3A,2,Undiluted,1,11/11/2019,7,21
3B,1,Undiluted,2,11/11/2019,7,22
3C,1,Undiluted,3,11/11/2019,7,23
3D,2,Undiluted,4,11/11/2019,7,24
3E,3,Undiluted,5,11/11/2019,7,25
3F,1,Undiluted,6,11/11/2019,7,26
3G,2,Undiluted,7,11/11/2019,7,27
3H,1,Undiluted,8,11/11/2019,7,28
3I,2,Undiluted,9,11/11/2019,7,29
3J,3,Undiluted,10,11/11/2019,7,30
4A,1,2X Diluted,1,11/11/2019,7,31
4B,2,2X Diluted,2,11/11/2019,7,32
4C,1,2X Diluted,3,11/11/2019,7,33
4D,2,2X Diluted,4,11/11/2019,7,34
4E,3,2X Diluted,5,11/11/2019,7,35
4F,3,2X Diluted,6,11/11/2019,7,36
4G,1,2X Diluted,7,11/11/2019,7,37
4H,1,2X Diluted,8,11/11/2019,7,38
4I,1,2X Diluted,9,11/11/2019,7,39
4J,1,2X Diluted,10,11/11/2019,7,40
1A,14,Control,1,12/11/2019,8,1
1B,8,Control,2,12/11/2019,8,2
1C,6,Control,3,12/11/2019,8,3
1D,5,Control,4,12/11/2019,8,4
1E,4,Control,5,12/11/2019,8,5
1F,7,Control,6,12/11/2019,8,6
1G,5,Control,7,12/11/2019,8,7
1H,5,Control,8,12/11/2019,8,8
1I,4,Control,9,12/11/2019,8,9
1J,7,Control,10,12/11/2019,8,10
2A,2,Sterile,1,12/11/2019,8,11
2B,1,Sterile,2,12/11/2019,8,12
2C,1,Sterile,3,12/11/2019,8,13
2D,2,Sterile,4,12/11/2019,8,14
2E,1,Sterile,5,12/11/2019,8,15
2F,1,Sterile,6,12/11/2019,8,16
2G,1,Sterile,7,12/11/2019,8,17
2H,2,Sterile,8,12/11/2019,8,18
2I,1,Sterile,9,12/11/2019,8,19
2J,1,Sterile,10,12/11/2019,8,20
3A,1,Undiluted,1,12/11/2019,8,21
3B,1,Undiluted,2,12/11/2019,8,22
3C,2,Undiluted,3,12/11/2019,8,23
3D,1,Undiluted,4,12/11/2019,8,24
3E,2,Undiluted,5,12/11/2019,8,25
3F,0,Undiluted,6,12/11/2019,8,26
3G,1,Undiluted,7,12/11/2019,8,27
3H,0,Undiluted,8,12/11/2019,8,28
3I,2,Undiluted,9,12/11/2019,8,29
3J,0,Undiluted,10,12/11/2019,8,30
4A,0,2X Diluted,1,12/11/2019,8,31
4B,1,2X Diluted,2,12/11/2019,8,32
4C,2,2X Diluted,3,12/11/2019,8,33
4D,0,2X Diluted,4,12/11/2019,8,34
4E,3,2X Diluted,5,12/11/2019,8,35
4F,2,2X Diluted,6,12/11/2019,8,36
4G,1,2X Diluted,7,12/11/2019,8,37
4H,0,2X Diluted,8,12/11/2019,8,38
4I,3,2X Diluted,9,12/11/2019,8,39
4J,2,2X Diluted,10,12/11/2019,8,40
1A,8,Control,1,13/11/2019,9,1
1B,11,Control,2,13/11/2019,9,2
1C,5,Control,3,13/11/2019,9,3
1D,3,Control,4,13/11/2019,9,4
1E,5,Control,5,13/11/2019,9,5
1F,4,Control,6,13/11/2019,9,6
1G,5,Control,7,13/11/2019,9,7
1H,3,Control,8,13/11/2019,9,8
1I,3,Control,9,13/11/2019,9,9
1J,5,Control,10,13/11/2019,9,10
2A,1,Sterile,1,13/11/2019,9,11
2B,1,Sterile,2,13/11/2019,9,12
2C,1,Sterile,3,13/11/2019,9,13
2D,2,Sterile,4,13/11/2019,9,14
2E,1,Sterile,5,13/11/2019,9,15
2F,1,Sterile,6,13/11/2019,9,16
2G,2,Sterile,7,13/11/2019,9,17
2H,1,Sterile,8,13/11/2019,9,18
2I,1,Sterile,9,13/11/2019,9,19
2J,1,Sterile,10,13/11/2019,9,20
3A,2,Undiluted,1,13/11/2019,9,21
3B,1,Undiluted,2,13/11/2019,9,22
3C,1,Undiluted,3,13/11/2019,9,23
3D,1,Undiluted,4,13/11/2019,9,24
3E,1,Undiluted,5,13/11/2019,9,25
3F,2,Undiluted,6,13/11/2019,9,26
3G,1,Undiluted,7,13/11/2019,9,27
3H,2,Undiluted,8,13/11/2019,9,28
3I,3,Undiluted,9,13/11/2019,9,29
3J,1,Undiluted,10,13/11/2019,9,30
4A,1,2X Diluted,1,13/11/2019,9,31
4B,2,2X Diluted,2,13/11/2019,9,32
4C,3,2X Diluted,3,13/11/2019,9,33
4D,2,2X Diluted,4,13/11/2019,9,34
4E,1,2X Diluted,5,13/11/2019,9,35
4F,1,2X Diluted,6,13/11/2019,9,36
4G,2,2X Diluted,7,13/11/2019,9,37
4H,1,2X Diluted,8,13/11/2019,9,38
4I,3,2X Diluted,9,13/11/2019,9,39
4J,2,2X Diluted,10,13/11/2019,9,40
1A,12,Control,1,14/11/2019,10,1
1B,13,Control,2,14/11/2019,10,2
1C,7,Control,3,14/11/2019,10,3
1D,5,Control,4,14/11/2019,10,4
1E,16,Control,5,14/11/2019,10,5
1F,5,Control,6,14/11/2019,10,6
1G,7,Control,7,14/11/2019,10,7
1H,5,Control,8,14/11/2019,10,8
1I,4,Control,9,14/11/2019,10,9
1J,3,Control,10,14/11/2019,10,10
2A,2,Sterile,1,14/11/2019,10,11
2B,2,Sterile,2,14/11/2019,10,12
2C,1,Sterile,3,14/11/2019,10,13
2D,2,Sterile,4,14/11/2019,10,14
2E,1,Sterile,5,14/11/2019,10,15
2F,1,Sterile,6,14/11/2019,10,16
2G,1,Sterile,7,14/11/2019,10,17
2H,1,Sterile,8,14/11/2019,10,18
2I,0,Sterile,9,14/11/2019,10,19
2J,1,Sterile,10,14/11/2019,10,20
3A,1,Undiluted,1,14/11/2019,10,21
3B,0,Undiluted,2,14/11/2019,10,22
3C,2,Undiluted,3,14/11/2019,10,23
3D,2,Undiluted,4,14/11/2019,10,24
3E,0,Undiluted,5,14/11/2019,10,25
3F,2,Undiluted,6,14/11/2019,10,26
3G,1,Undiluted,7,14/11/2019,10,27
3H,1,Undiluted,8,14/11/2019,10,28
3I,1,Undiluted,9,14/11/2019,10,29
3J,0,Undiluted,10,14/11/2019,10,30
4A,2,2X Diluted,1,14/11/2019,10,31
4B,3,2X Diluted,2,14/11/2019,10,32
4C,1,2X Diluted,3,14/11/2019,10,33
4D,1,2X Diluted,4,14/11/2019,10,34
4E,2,2X Diluted,5,14/11/2019,10,35
4F,2,2X Diluted,6,14/11/2019,10,36
4G,0,2X Diluted,7,14/11/2019,10,37
4H,0,2X Diluted,8,14/11/2019,10,38
4I,0,2X Diluted,9,14/11/2019,10,39
4J,2,2X Diluted,10,14/11/2019,10,40
1A,11,Control,1,15/11/2019,11,1
1B,12,Control,2,15/11/2019,11,2
1C,11,Control,3,15/11/2019,11,3
1D,6,Control,4,15/11/2019,11,4
1E,14,Control,5,15/11/2019,11,5
1F,4,Control,6,15/11/2019,11,6
1G,6,Control,7,15/11/2019,11,7
1H,6,Control,8,15/11/2019,11,8
1I,5,Control,9,15/11/2019,11,9
1J,11,Control,10,15/11/2019,11,10
2A,2,Sterile,1,15/11/2019,11,11
2B,1,Sterile,2,15/11/2019,11,12
2C,0,Sterile,3,15/11/2019,11,13
2D,0,Sterile,4,15/11/2019,11,14
2E,0,Sterile,5,15/11/2019,11,15
