Code,No. of faecal pellets,Treatment,Replicate,Date,Day,Individual
4E,1,2X Diluted,5,04/12/2019,30,35
4F,0,2X Diluted,6,04/12/2019,30,36
4G,0,2X Diluted,7,04/12/2019,30,37
4H,0,2X Diluted,8,04/12/2019,30,38
4I,0,2X Diluted,9,04/12/2019,30,39
4J,1,2X Diluted,10,04/12/2019,30,40
1A,5,Control,1,05/12/2019,31,1
1B,4,Control,2,05/12/2019,31,2
1C,8,Control,3,05/12/2019,31,3
1D,2,Control,4,05/12/2019,31,4
1E,4,Control,5,05/12/2019,31,5
1F,4,Control,6,05/12/2019,31,6
1G,2,Control,7,05/12/2019,31,7
1H,4,Control,8,05/12/2019,31,8
1I,5,Control,9,05/12/2019,31,9
1J,7,Control,10,05/12/2019,31,10
2A,0,Sterile,1,05/12/2019,31,11
2B,0,Sterile,2,05/12/2019,31,12
2C,0,Sterile,3,05/12/2019,31,13
2D,1,Sterile,4,05/12/2019,31,14
2E,0,Sterile,5,05/12/2019,31,15
2F,0,Sterile,6,05/12/2019,31,16
2G,1,Sterile,7,05/12/2019,31,17
2H,1,Sterile,8,05/12/2019,31,18
2I,NA,Sterile,9,05/12/2019,31,19
2J,0,Sterile,10,05/12/2019,31,20
3A,NA,Undiluted,1,05/12/2019,31,21
3B,0,Undiluted,2,05/12/2019,31,22
3C,0,Undiluted,3,05/12/2019,31,23
3D,0,Undiluted,4,05/12/2019,31,24
3E,0,Undiluted,5,05/12/2019,31,25
3F,0,Undiluted,6,05/12/2019,31,26
3G,0,Undiluted,7,05/12/2019,31,27
3H,0,Undiluted,8,05/12/2019,31,28
3I,0,Undiluted,9,05/12/2019,31,29
3J,0,Undiluted,10,05/12/2019,31,30
4A,0,2X Diluted,1,05/12/2019,31,31
4B,1,2X Diluted,2,05/12/2019,31,32
4C,0,2X Diluted,3,05/12/2019,31,33
4D,0,2X Diluted,4,05/12/2019,31,34
4E,0,2X Diluted,5,05/12/2019,31,35
4F,0,2X Diluted,6,05/12/2019,31,36
4G,0,2X Diluted,7,05/12/2019,31,37
4H,1,2X Diluted,8,05/12/2019,31,38
4I,0,2X Diluted,9,05/12/2019,31,39
4J,0,2X Diluted,10,05/12/2019,31,40
1A,7,Control,1,06/12/2019,32,1
1B,3,Control,2,06/12/2019,32,2
1C,7,Control,3,06/12/2019,32,3
1D,3,Control,4,06/12/2019,32,4
1E,2,Control,5,06/12/2019,32,5
1F,5,Control,6,06/12/2019,32,6
1G,4,Control,7,06/12/2019,32,7
1H,2,Control,8,06/12/2019,32,8
1I,2,Control,9,06/12/2019,32,9
1J,5,Control,10,06/12/2019,32,10
2A,0,Sterile,1,06/12/2019,32,11
2B,2,Sterile,2,06/12/2019,32,12
2C,0,Sterile,3,06/12/2019,32,13
2D,0,Sterile,4,06/12/2019,32,14
2E,0,Sterile,5,06/12/2019,32,15
2F,0,Sterile,6,06/12/2019,32,16
2G,0,Sterile,7,06/12/2019,32,17
2H,0,Sterile,8,06/12/2019,32,18
2I,NA,Sterile,9,06/12/2019,32,19
2J,0,Sterile,10,06/12/2019,32,20
3A,NA,Undiluted,1,06/12/2019,32,21
3B,0,Undiluted,2,06/12/2019,32,22
3C,0,Undiluted,3,06/12/2019,32,23
3D,0,Undiluted,4,06/12/2019,32,24
3E,0,Undiluted,5,06/12/2019,32,25
3F,0,Undiluted,6,06/12/2019,32,26
3G,0,Undiluted,7,06/12/2019,32,27
3H,0,Undiluted,8,06/12/2019,32,28
3I,0,Undiluted,9,06/12/2019,32,29
3J,0,Undiluted,10,06/12/2019,32,30
4A,4,2X Diluted,1,06/12/2019,32,31
4B,2,2X Diluted,2,06/12/2019,32,32
4C,2,2X Diluted,3,06/12/2019,32,33
4D,1,2X Diluted,4,06/12/2019,32,34
4E,0,2X Diluted,5,06/12/2019,32,35
4F,0,2X Diluted,6,06/12/2019,32,36
4G,0,2X Diluted,7,06/12/2019,32,37
4H,0,2X Diluted,8,06/12/2019,32,38
4I,1,2X Diluted,9,06/12/2019,32,39
4J,1,2X Diluted,10,06/12/2019,32,40
1A,5,Control,1,07/12/2019,33,1
1B,6,Control,2,07/12/2019,33,2
1C,4,Control,3,07/12/2019,33,3
1D,5,Control,4,07/12/2019,33,4
1E,1,Control,5,07/12/2019,33,5
1F,2,Control,6,07/12/2019,33,6
1G,1,Control,7,07/12/2019,33,7
1H,0,Control,8,07/12/2019,33,8
1I,1,Control,9,07/12/2019,33,9
1J,1,Control,10,07/12/2019,33,10
2A,0,Sterile,1,07/12/2019,33,11
2B,1,Sterile,2,07/12/2019,33,12
2C,0,Sterile,3,07/12/2019,33,13
2D,2,Sterile,4,07/12/2019,33,14
2E,0,Sterile,5,07/12/2019,33,15
2F,0,Sterile,6,07/12/2019,33,16
2G,1,Sterile,7,07/12/2019,33,17
2H,1,Sterile,8,07/12/2019,33,18
2I,NA,Sterile,9,07/12/2019,33,19
2J,0,Sterile,10,07/12/2019,33,20
3A,NA,Undiluted,1,07/12/2019,33,21
3B,0,Undiluted,2,07/12/2019,33,22
3C,0,Undiluted,3,07/12/2019,33,23
3D,0,Undiluted,4,07/12/2019,33,24
3E,0,Undiluted,5,07/12/2019,33,25
3F,0,Undiluted,6,07/12/2019,33,26
3G,0,Undiluted,7,07/12/2019,33,27
3H,0,Undiluted,8,07/12/2019,33,28
3I,0,Undiluted,9,07/12/2019,33,29
3J,0,Undiluted,10,07/12/2019,33,30
4A,4,2X Diluted,1,07/12/2019,33,31
4B,0,2X Diluted,2,07/12/2019,33,32
4C,1,2X Diluted,3,07/12/2019,33,33
4D,0,2X Diluted,4,07/12/2019,33,34
4E,0,2X Diluted,5,07/12/2019,33,35
4F,0,2X Diluted,6,07/12/2019,33,36
4G,0,2X Diluted,7,07/12/2019,33,37
4H,0,2X Diluted,8,07/12/2019,33,38
4I,0,2X Diluted,9,07/12/2019,33,39
4J,0,2X Diluted,10,07/12/2019,33,40
1A,6,Control,1,08/12/2019,34,1
1B,4,Control,2,08/12/2019,34,2
1C,6,Control,3,08/12/2019,34,3
1D,6,Control,4,08/12/2019,34,4
1E,1,Control,5,08/12/2019,34,5
1F,2,Control,6,08/12/2019,34,6
1G,1,Control,7,08/12/2019,34,7
1H,0,Control,8,08/12/2019,34,8
1I,1,Control,9,08/12/2019,34,9
1J,0,Control,10,08/12/2019,34,10
2A,0,Sterile,1,08/12/2019,34,11
2B,0,Sterile,2,08/12/2019,34,12
2C,0,Sterile,3,08/12/2019,34,13
2D,2,Sterile,4,08/12/2019,34,14
2E,0,Sterile,5,08/12/2019,34,15
2F,0,Sterile,6,08/12/2019,34,16
2G,0,Sterile,7,08/12/2019,34,17
2H,0,Sterile,8,08/12/2019,34,18
2I,NA,Sterile,9,08/12/2019,34,19
2J,0,Sterile,10,08/12/2019,34,20
3A,NA,Undiluted,1,08/12/2019,34,21
3B,0,Undiluted,2,08/12/2019,34,22
3C,0,Undiluted,3,08/12/2019,34,23
3D,0,Undiluted,4,08/12/2019,34,24
3E,0,Undiluted,5,08/12/2019,34,25
3F,0,Undiluted,6,08/12/2019,34,26
3G,0,Undiluted,7,08/12/2019,34,27
3H,0,Undiluted,8,08/12/2019,34,28
3I,0,Undiluted,9,08/12/2019,34,29
3J,0,Undiluted,10,08/12/2019,34,30
4A,4,2X Diluted,1,08/12/2019,34,31
4B,0,2X Diluted,2,08/12/2019,34,32
4C,1,2X Diluted,3,08/12/2019,34,33
4D,0,2X Diluted,4,08/12/2019,34,34
4E,0,2X Diluted,5,08/12/2019,34,35
4F,0,2X Diluted,6,08/12/2019,34,36
4G,0,2X Diluted,7,08/12/2019,34,37
4H,0,2X Diluted,8,08/12/2019,34,38
4I,0,2X Diluted,9,08/12/2019,34,39
4J,0,2X Diluted,10,08/12/2019,34,40
1A,5,Control,1,09/12/2019,35,1
1B,6,Control,2,09/12/2019,35,2
1C,2,Control,3,09/12/2019,35,3
1D,5,Control,4,09/12/2019,35,4
1E,2,Control,5,09/12/2019,35,5
1F,2,Control,6,09/12/2019,35,6
1G,1,Control,7,09/12/2019,35,7
1H,2,Control,8,09/12/2019,35,8
1I,1,Control,9,09/12/2019,35,9
1J,3,Control,10,09/12/2019,35,10
2A,0,Sterile,1,09/12/2019,35,11
2B,NA,Sterile,2,09/12/2019,35,12
2C,0,Sterile,3,09/12/2019,35,13
2D,1,Sterile,4,09/12/2019,35,14
2E,0,Sterile,5,09/12/2019,35,15
2F,1,Sterile,6,09/12/2019,35,16
2G,1,Sterile,7,09/12/2019,35,17
2H,0,Sterile,8,09/12/2019,35,18
2I,NA,Sterile,9,09/12/2019,35,19
2J,0,Sterile,10,09/12/2019,35,20
3A,NA,Undiluted,1,09/12/2019,35,21
3B,0,Undiluted,2,09/12/2019,35,22
3C,0,Undiluted,3,09/12/2019,35,23
3D,0,Undiluted,4,09/12/2019,35,24
3E,0,Undiluted,5,09/12/2019,35,25
3F,1,Undiluted,6,09/12/2019,35,26
3G,0,Undiluted,7,09/12/2019,35,27
3H,0,Undiluted,8,09/12/2019,35,28
3I,0,Undiluted,9,09/12/2019,35,29
3J,0,Undiluted,10,09/12/2019,35,30
4A,4,2X Diluted,1,09/12/2019,35,31
4B,0,2X Diluted,2,09/12/2019,35,32
4C,0,2X Diluted,3,09/12/2019,35,33
4D,1,2X Diluted,4,09/12/2019,35,34
4E,0,2X Diluted,5,09/12/2019,35,35
4F,0,2X Diluted,6,09/12/2019,35,36
4G,0,2X Diluted,7,09/12/2019,35,37
4H,0,2X Diluted,8,09/12/2019,35,38
4I,NA,2X Diluted,9,09/12/2019,35,39
4J,0,2X Diluted,10,09/12/2019,35,40
