Code,Weight (g),Treatment,Replicate,Date ,Day,Individual,Status
2E,4.758,Sterile,5,17/12/2019,42,15,0
2F,3.1,Sterile,6,17/12/2019,42,16,0
2G,2.954,Sterile,7,17/12/2019,42,17,0
2H,3.042,Sterile,8,17/12/2019,42,18,0
2I,NA,Sterile,9,17/12/2019,42,19,1
2J,2.98,Sterile,10,17/12/2019,42,20,0
3A,NA,Undiluted,1,17/12/2019,42,21,1
3B,5.418,Undiluted,2,17/12/2019,42,22,0
3C,5.21,Undiluted,3,17/12/2019,42,23,0
3D,4.961,Undiluted,4,17/12/2019,42,24,0
3E,5.091,Undiluted,5,17/12/2019,42,25,0
3F,1.684,Undiluted,6,17/12/2019,42,26,0
3G,2.612,Undiluted,7,17/12/2019,42,27,0
3H,3.268,Undiluted,8,17/12/2019,42,28,0
3I,2.618,Undiluted,9,17/12/2019,42,29,0
3J,3.745,Undiluted,10,17/12/2019,42,30,0
4A,5.088,2X Diluted,1,17/12/2019,42,31,0
4B,3.932,2X Diluted,2,17/12/2019,42,32,0
4C,4.704,2X Diluted,3,17/12/2019,42,33,0
4D,5.099,2X Diluted,4,17/12/2019,42,34,0
4E,4.649,2X Diluted,5,17/12/2019,42,35,0
4F,3.665,2X Diluted,6,17/12/2019,42,36,0
4G,1.732,2X Diluted,7,17/12/2019,42,37,0
4H,4.756,2X Diluted,8,17/12/2019,42,38,0
4I,NA,2X Diluted,9,17/12/2019,42,39,1
4J,3.854,2X Diluted,10,17/12/2019,42,40,0
