Code,No. of colonies per pellet,Treatment,Replicate,Date,Day,Individual,Number of Faeces,Total colonies
4I,NA,2X Diluted,9,27/11/19,23,39,NA,NA
4J,81600,2X Diluted,10,27/11/19,23,40,1,81600
1A,136800,Control,1,04/12/19,30,1,2,273600
1B,111600,Control,2,04/12/19,30,2,3,334800
1C,164000,Control,3,04/12/19,30,3,5,820000
1D,137200,Control,4,04/12/19,30,4,6,823200
1E,131200,Control,5,04/12/19,30,5,2,262400
1F,78400,Control,6,04/12/19,30,6,6,470400
1G,168400,Control,7,04/12/19,30,7,3,505200
1H,94400,Control,8,04/12/19,30,8,1,94400
1I,139200,Control,9,04/12/19,30,9,2,278400
1J,83200,Control,10,04/12/19,30,10,4,332800
2A,95600,Sterile,1,04/12/19,30,11,1,95600
2B,117600,Sterile,2,04/12/19,30,12,1,117600
2C,74800,Sterile,3,04/12/19,30,13,1,74800
2D,184400,Sterile,4,04/12/19,30,14,1,184400
2E,74800,Sterile,5,04/12/19,30,15,1,74800
2F,149600,Sterile,6,04/12/19,30,16,1,149600
2G,NA,Sterile,7,04/12/19,30,17,NA,NA
2H,92000,Sterile,8,04/12/19,30,18,2,184000
2I,NA,Sterile,9,04/12/19,30,19,NA,NA
2J,NA,Sterile,10,04/12/19,30,20,NA,NA
3A,NA,Undiluted,1,04/12/19,30,21,NA,NA
3B,NA,Undiluted,2,04/12/19,30,22,NA,NA
3C,96000,Undiluted,3,04/12/19,30,23,1,96000
3D,NA,Undiluted,4,04/12/19,30,24,NA,NA
3E,68800,Undiluted,5,04/12/19,30,25,1,68800
3F,46800,Undiluted,6,04/12/19,30,26,1,46800
3G,NA,Undiluted,7,04/12/19,30,27,NA,NA
3H,83600,Undiluted,8,04/12/19,30,28,2,167200
3I,NA,Undiluted,9,04/12/19,30,29,NA,NA
3J,NA,Undiluted,10,04/12/19,30,30,NA,NA
4A,9200,2X Diluted,1,04/12/19,30,31,1,9200
4B,56400,2X Diluted,2,04/12/19,30,32,1,56400
4C,30400,2X Diluted,3,04/12/19,30,33,1,30400
4D,20400,2X Diluted,4,04/12/19,30,34,1,20400
4E,32800,2X Diluted,5,04/12/19,30,35,1,32800
4F,NA,2X Diluted,6,04/12/19,30,36,NA,NA
4G,NA,2X Diluted,7,04/12/19,30,37,NA,NA
4H,NA,2X Diluted,8,04/12/19,30,38,NA,NA
4I,NA,2X Diluted,9,04/12/19,30,39,NA,NA
4J,60400,2X Diluted,10,04/12/19,30,40,1,60400
