taxon,lfc_(Intercept),lfc_TreatmentSterile feed,lfc_TreatmentAntibiotics (2X),lfc_TreatmentAntibiotics (1X),se_(Intercept),se_TreatmentSterile feed,se_TreatmentAntibiotics (2X),se_TreatmentAntibiotics (1X),W_(Intercept),W_TreatmentSterile feed,W_TreatmentAntibiotics (2X),W_TreatmentAntibiotics (1X),p_(Intercept),p_TreatmentSterile feed,p_TreatmentAntibiotics (2X),p_TreatmentAntibiotics (1X),q_(Intercept),q_TreatmentSterile feed,q_TreatmentAntibiotics (2X),q_TreatmentAntibiotics (1X),diff_(Intercept),diff_TreatmentSterile feed,diff_TreatmentAntibiotics (2X),diff_TreatmentAntibiotics (1X),passed_ss_(Intercept),passed_ss_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (2X),passed_ss_TreatmentAntibiotics (1X)
Seq_781,-1.138448957278107,1.2637137310541722,1.504851985783291,1.7391548044724705,0.3233520413695133,0.5307185356481592,0.5841227631316559,0.663538577047326,-3.520772444968531,2.381137356566633,2.576259787780452,2.621030433846844,0.009717556502059235,0.048800440181792894,0.03667168488882951,0.03435767702021687,0.1566241459743665,0.2613943861654376,0.32598809602953654,0.27414412119340026,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Seq_786,-0.035490908848901125,0.20017199437021335,-0.0748661373497039,0.33823515338233634,0.49272705161814323,0.5925626561661196,0.7367649838408834,0.6917113027950879,-0.07202955212697779,0.3378073057545107,-0.10161467902480079,0.4889831234730234,0.9445932248346709,0.7454127013829512,0.9219119779953499,0.639801335753758,0.9803732712299236,0.9241768333888174,0.9641369540867399,0.8720372262257696,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_787,0.3657454900059291,0.22115905716421652,-0.6037342151837953,-0.7560228297449685,0.5442930692982615,0.6292427483743415,0.9964110568476164,0.7603755045156239,0.6719642608668016,0.35146858304777356,-0.6059087873772219,-0.9942756246817445,0.5231579732663514,0.7355784740542621,0.5636979618770137,0.3532077572195352,0.7711940595334552,0.9182529849029677,0.8215597955016051,0.65900951722376655,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_789,1.1398665828392829,-0.6841991106268953,-1.7636586962320329,-1.4761837813957008,0.9005450542853153,1.0321253502174423,1.0892575115830476,1.2533330543889416,1.2657518659562197,-0.6629031158693585,-1.6191384291386337,-1.1778064706953806,0.2613743539558919,0.5367254367770388,0.16634242723051643,0.29187510492126795,0.6057382211899754,0.8288499049209357,0.5063778132434538,0.6500325950719608,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_793,0.6310075090624748,0.5853978122441511,-1.9127643083331665,-0.6552362729103872,0.6413624114675672,0.6758224298530723,0.8665728937899033,0.967275094485466,0.9838548343028113,0.866200626651915,-2.207274566329682,-0.6774042634261505,0.3540024294088105,0.4116038942922263,0.05832842299429987,0.5172563651665392,0.6914954450673119,0.7367039723924379,0.3456358600922469,0.7873791336423984,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Seq_796,0.3183185013800959,0.10074566942306258,-0.7969376937788005,-0.03565471391414849,0.5473277922755596,0.5960936965481094,0.7550566405139705,0.7103679402034958,0.5815865846253868,0.16900978823709406,-1.0554674325310502,-0.05019189619387194,0.5768610657882384,0.8699841265090829,0.32204094603965555,0.9612000122638833,0.7855951783483089,0.9458797016614996,0.6302801372490401,0.9904964725759118,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_811,0.38509911520076334,-0.18696559412477792,-0.5748352198453556,-0.31682159714245683,0.32289953100686813,0.4616996231894353,0.8089487429049605,0.7917778322333958,1.1926282890530808,-0.4049507184632593,-0.710595355870267,-0.4001395141977983,0.2718690012081115,0.697603046157083,0.500318362173545,0.7009835316980471,0.6057382211899754,0.9145609313255538,0.7762751048751434,0.8939481940068947,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_812,0.124153805991227,0.586245209354109,-0.5701442031852775,0.02871103711675653,0.6832118418524356,0.7174219896725261,0.9928073485612581,0.8704215055856888,0.18172080515261696,0.8171553392469973,-0.5742747613739067,0.03298521111037745,0.860321794370269,0.43749633556208045,0.5815653274672273,0.9744945054450527,0.9391560623802936,0.7492124746500627,0.8244578357514877,0.9926077862154068,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_819,1.9388296961920046,-1.5745671358504234,-3.230988421700085,-2.514098535999283,0.7667819295670109,0.8640391208399125,0.9903214619845968,0.9325316945762577,2.528528153091492,-1.8223331535264549,-3.262565283827343,-2.6959925872993398,0.0447685532150106,0.11823750641587062,0.017193478797373086,0.03576620923025991,0.250338440426794,0.36703441693372985,0.24794806265685396,0.27414412119340026,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_849,0.275069171098316,0.6608679008589976,-0.21644252399084998,-1.1196046596050973,0.3582422806184579,0.5218501882631178,0.8295177392168714,1.103028107135867,0.7678300021523017,1.266393910977736,-0.2609257328181895,-1.0150282230905912,0.46769359128280197,0.24588330864405908,0.8016595468299805,0.3438845792222024,0.7497899147593714,0.60979560457231,0.9101059579998444,0.65900951722376655,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_850,-0.6573038358139148,1.434655004062057,0.4652676102395341,0.6869991577704323,0.4506526999796921,0.6487266515866897,0.8134036064776473,0.798689162274728,-1.4585596310496645,2.21149385577593,0.5720009187742886,0.8601583572435189,0.20449284694622702,0.0779578139499393,0.5920766593854718,0.4290075719762658,0.5717453067680225,0.3233513054443416,0.8319436137006117,0.7152794196922952,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Seq_853,-0.2895854588111774,1.1405789944728393,-0.39462356643118174,0.8409987047205231,0.6322230890546731,0.7653182704451934,0.8457850259614405,0.9121272529961918,-0.4580431556907831,1.4903328961548936,-0.46657667648182355,0.9220190515720007,0.6630415852218416,0.18672323511456,0.6572626368705641,0.39208507970357187,0.8333641942696541,0.5167895598120146,0.8494958751584296,0.6944957248493454,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
