ASV	ECN2_D21_13C_10	ECN2_D21_13C_11	ECN2_D21_13C_2	ECN2_D21_13C_3	ECN2_D21_13C_4	ECN2_D21_13C_5	ECN2_D21_13C_6	ECN2_D21_13C_7	ECN2_D21_13C_8	ECN2_D21_13C_9	EP_CON_D14_10	EP_CON_D14_11	EP_CON_D14_2	EP_CON_D14_3	EP_CON_D14_4	EP_CON_D14_5	EP_CON_D14_6	EP_CON_D14_7	EP_CON_D14_8	EP_CON_D14_9	EP_CON_D3_10	EP_CON_D3_11	EP_CON_D3_2	EP_CON_D3_3	EP_CON_D3_4	EP_CON_D3_5	EP_CON_D3_6	EP_CON_D3_7	EP_CON_D3_8	EP_CON_D3_9	EP_CON_D7_10	EP_CON_D7_11	EP_CON_D7_2	EP_CON_D7_3	EP_CON_D7_4	EP_CON_D7_5	EP_CON_D7_6	EP_CON_D7_7	EP_CON_D7_8	EP_CON_D7_9	EP_D14_A_10	EP_D14_A_11	EP_D14_A_2	EP_D14_A_3	EP_D14_A_4	EP_D14_A_5	EP_D14_A_6	EP_D14_A_7	EP_D14_A_8	EP_D14_A_9	EP_D14_B_10	EP_D14_B_11	EP_D14_B_2	EP_D14_B_3	EP_D14_B_4	EP_D14_B_5	EP_D14_B_6	EP_D14_B_7	EP_D14_B_8	EP_D14_B_9	EP_D14_C_1	EP_D14_C_10	EP_D14_C_2	EP_D14_C_3	EP_D14_C_4	EP_D14_C_5	EP_D14_C_6	EP_D14_C_7	EP_D14_C_8	EP_D14_C_9	EP_D21_13C_A_10	EP_D21_13C_A_11	EP_D21_13C_A_2	EP_D21_13C_A_3	EP_D21_13C_A_4	EP_D21_13C_A_5	EP_D21_13C_A_6	EP_D21_13C_A_7	EP_D21_13C_A_8	EP_D21_13C_A_9	EP_D21_13C_B_10	EP_D21_13C_B_11	EP_D21_13C_B_2	EP_D21_13C_B_3	EP_D21_13C_B_4	EP_D21_13C_B_5	EP_D21_13C_B_6	EP_D21_13C_B_7	EP_D21_13C_B_9	EP_D21_13C_C_10	EP_D21_13C_C_11	EP_D21_13C_C_2	EP_D21_13C_C_3	EP_D21_13C_C_4	EP_D21_13C_C_5	EP_D21_13C_C_6	EP_D21_13C_C_7	EP_D21_13C_C_8	EP_D21_13C_C_9	EP_D3_A_10	EP_D3_A_11	EP_D3_A_2	EP_D3_A_3	EP_D3_A_4	EP_D3_A_5	EP_D3_A_6	EP_D3_A_7	EP_D3_A_8	EP_D3_A_9	EP_D3_B_10	EP_D3_B_11	EP_D3_B_2	EP_D3_B_3	EP_D3_B_4	EP_D3_B_5	EP_D3_B_6	EP_D3_B_7	EP_D3_B_8	EP_D3_B_9	EP_D3_C_10	EP_D3_C_11	EP_D3_C_2	EP_D3_C_3	EP_D3_C_4	EP_D3_C_5	EP_D3_C_6	EP_D3_C_7	EP_D3_C_8	EP_D3_C_9	EP_D7_A_10	EP_D7_A_11	EP_D7_A_2	EP_D7_A_3	EP_D7_A_4	EP_D7_A_5	EP_D7_A_6	EP_D7_A_7	EP_D7_A_8	EP_D7_A_9	EP_D7_B_10	EP_D7_B_11	EP_D7_B_2	EP_D7_B_3	EP_D7_B_4	EP_D7_B_5	EP_D7_B_6	EP_D7_B_7	EP_D7_B_8	EP_D7_B_9	EP_D7_C_10	EP_D7_C_11	EP_D7_C_2	EP_D7_C_3	EP_D7_C_4	EP_D7_C_5	EP_D7_C_6	EP_D7_C_7	EP_D7_C_8	EP_D7_C_9	GC_CON_D14_10	GC_CON_D14_11	GC_CON_D14_2	GC_CON_D14_3	GC_CON_D14_4	GC_CON_D14_5	GC_CON_D14_6	GC_CON_D14_7	GC_CON_D14_8	GC_CON_D14_9	GC_CON_D3_10	GC_CON_D3_11	GC_CON_D3_2	GC_CON_D3_3	GC_CON_D3_4	GC_CON_D3_5	GC_CON_D3_6	GC_CON_D3_7	GC_CON_D3_8	GC_CON_D3_9	GC_CON_D7_1	GC_CON_D7_10	GC_CON_D7_2	GC_CON_D7_3	GC_CON_D7_4	GC_CON_D7_5	GC_CON_D7_6	GC_CON_D7_7	GC_CON_D7_8	GC_CON_D7_9	GC_D14_A_10	GC_D14_A_11	GC_D14_A_2	GC_D14_A_3	GC_D14_A_4	GC_D14_A_5	GC_D14_A_6	GC_D14_A_7	GC_D14_A_8	GC_D14_A_9	GC_D14_B_10	GC_D14_B_11	GC_D14_B_2	GC_D14_B_3	GC_D14_B_4	GC_D14_B_5	GC_D14_B_6	GC_D14_B_7	GC_D14_B_8	GC_D14_B_9	GC_D14_C_10	GC_D14_C_11	GC_D14_C_2	GC_D14_C_3	GC_D14_C_4	GC_D14_C_5	GC_D14_C_6	GC_D14_C_7	GC_D14_C_8	GC_D14_C_9	GC_D21_13C_A_10	GC_D21_13C_A_11	GC_D21_13C_A_2	GC_D21_13C_A_3	GC_D21_13C_A_4	GC_D21_13C_A_5	GC_D21_13C_A_6	GC_D21_13C_A_7	GC_D21_13C_A_8	GC_D21_13C_A_9	GC_D21_13C_B_10	GC_D21_13C_B_11	GC_D21_13C_B_2	GC_D21_13C_B_3	GC_D21_13C_B_4	GC_D21_13C_B_5	GC_D21_13C_B_6	GC_D21_13C_B_7	GC_D21_13C_B_8	GC_D21_13C_B_9	GC_D21_13C_C_10	GC_D21_13C_C_11	GC_D21_13C_C_2	GC_D21_13C_C_3	GC_D21_13C_C_4	GC_D21_13C_C_5	GC_D21_13C_C_6	GC_D21_13C_C_7	GC_D21_13C_C_8	GC_D21_13C_C_9	GC_D3_A_10	GC_D3_A_11	GC_D3_A_2	GC_D3_A_3	GC_D3_A_4	GC_D3_A_5	GC_D3_A_6	GC_D3_A_7	GC_D3_A_8	GC_D3_A_9	GC_D3_B_10	GC_D3_B_11	GC_D3_B_2	GC_D3_B_3	GC_D3_B_4	GC_D3_B_5	GC_D3_B_6	GC_D3_B_7	GC_D3_B_8	GC_D3_B_9	GC_D3_C_10	GC_D3_C_11	GC_D3_C_2	GC_D3_C_3	GC_D3_C_4	GC_D3_C_5	GC_D3_C_6	GC_D3_C_7	GC_D3_C_8	GC_D3_C_9	GC_D7_A_10	GC_D7_A_11	GC_D7_A_2	GC_D7_A_3	GC_D7_A_4	GC_D7_A_5	GC_D7_A_6	GC_D7_A_7	GC_D7_A_8	GC_D7_A_9	GC_D7_B_10	GC_D7_B_11	GC_D7_B_2	GC_D7_B_3	GC_D7_B_4	GC_D7_B_5	GC_D7_B_6	GC_D7_B_7	GC_D7_B_8	GC_D7_B_9	GC_D7_C_10	GC_D7_C_11	GC_D7_C_2	GC_D7_C_3	GC_D7_C_4	GC_D7_C_5	GC_D7_C_6	GC_D7_C_7	GC_D7_C_8	GC_D7_C_9	GCN_D21_13C_10	GCN_D21_13C_11	GCN_D21_13C_2	GCN_D21_13C_3	GCN_D21_13C_4	GCN_D21_13C_5	GCN_D21_13C_6	GCN_D21_13C_7	GCN_D21_13C_8	GCN_D21_13C_9
Seq_2860	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	1	4	3	2	1	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	4	14	1	12	13	3	2	0	0	0	0	3	5	2	7	1	1	3	6	2	2	5	3	5	3	1	0	7	7	14	4	6	2	2	5	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	1	2	4	3	2	3	4	0	0	0	1	2	4	1	3	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	2	0	0	0	7	5	3	0	0	2	1	1	10	0	0	0	0	0	2	0	0	0	0	0	1	2	2	1	1	4	1	1	5	3
Seq_2861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	2	0	3	6	9	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	4	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	32	0	0	0	9	16	42	22	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	10	16	0	0	0	0	0	0	0	0	0	0
Seq_2862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	26	7	0	15	26	28	42	39	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	4	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_2863	3	6	0	2	2	3	0	2	0	0	2	1	2	4	3	4	5	9	1	2	0	1	0	0	0	0	0	1	0	3	4	0	3	1	5	3	4	6	2	4	4	2	0	0	0	0	4	2	3	3	0	5	0	2	4	5	1	2	0	0	0	1	0	0	1	4	6	3	6	0	7	7	7	0	6	7	2	12	7	5	0	0	1	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	4	2	1	0	0	0	2	2	3	2	0	1	2	0	0	0	2	3	9	5	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	4	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_2864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	4	0	1	0	0	0	1	0	0	0	0	2	12	7	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	5	4	2	7	0	0	0	0	0	0	0	0	0	0	2	0	6	14	10	5	3	2	0	0	2	4	9	3	5	3	3	3	0	0	0	0	4	1	2	2	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	4	5	4	6	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	2	3	13	9	13	11	11
Seq_2866	6	0	0	0	0	0	0	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	7	10	9	6	0	6	9	10	21	9	14	4	0	0	0	0	0	0	0	0	0	0	5	5	0	0	6	7	16	14	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	4	11	4	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_2867	6	7	1	5	7	6	7	5	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	8	11	13	2	7	5	6	1	11	18	21	27	14	14	8	0	0	0	0	0	0	0	0	0	0	5	0	3	2	10	5	3	2	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_2868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	9	0	10	0	5	5	7	8	14	10	10	7	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	3	4	0	5	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	14	10	0	8	18	25	19	21	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_2869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	6	2	4	0	17	18	5	12	21	42	16	18	15	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	1	8	7	18	18	16	9	10
Seq_2870	0	0	0	0	0	0	0	0	0	0	7	8	0	8	0	7	6	11	6	11	16	18	5	3	9	11	4	19	29	24	0	1	0	2	2	3	4	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_2871	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	2	0	1	0	0	0	0	1	0	2	2	1	0	0	1	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17	8	9	15	21	15	25	8	12	6	7	0	0	0	14	11	6	7	0	0	5	4	2	0	0	8	9	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
Seq_2872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	6	7	0	0	4	4	7	7	3	15	18	6	11	9	0	21	9	7	13	35	33	15	15	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_2873	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	21	8	12	22	22	9	23	13	23	2	0	1	0	2	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4	5	2	0	0	2	5	4	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	8	5	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	11	0	6	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_2874	15	17	4	9	22	19	29	29	22	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	4	4	10	9	3	5	0	1	2	2	9	9	8	9	5	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_2876	1	1	0	0	2	1	1	0	0	0	7	3	7	3	2	5	9	7	9	9	0	0	0	0	0	0	0	0	0	0	20	9	10	5	4	3	18	12	34	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	5	2	0	6	11	7	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_2877	4	0	2	3	4	5	1	7	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	0	3	0	0	0	0	2	0	0	0	7	7	0	0	0	0	1	0	0	5	4	0	0	0	0	0	0	3	0	0	3	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	13	8	7	17	15	23	25	7
