ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_5145	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocella
Seq_5146	Bacteria	Bacillota	Clostridia	Unclassified	Unclassified	Unclassified
Seq_5148	Bacteria	Bacillota	Clostridia	Unclassified	Unclassified	Unclassified
Seq_5152	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus
Seq_5153	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Unclassified
Seq_5155	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	Unclassified
Seq_5156	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_5157	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Seq_5159	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	UCG-004
Seq_5160	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Seq_5164	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_5165	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_5166	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Vitreoscilla
Seq_5168	Bacteria	Actinobacteriota	Actinobacteria	Unclassified	Unclassified	Unclassified
Seq_5171	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium
Seq_5172	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Termite planctomycete cluster
Seq_5173	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
Seq_5174	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea
Seq_5175	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia
Seq_5176	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans
Seq_5181	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5182	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_5185	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Seq_5186	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_5187	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Unclassified
Seq_5188	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium
Seq_5189	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
